Seq num	Source	Queue @src	Transmit @src	Receive @ C	Transmit @ C	Receive @ D
0	a	0	1	11	12	23
1	a	0	1	11	12	23
2	a	0	1	11	12	23
3	a	0	1	11	12	23
4	a	0	1	11	12	23
5	a	0	1	11	12	23
6	a	0	1	11	12	23
7	a	0	1	11	12	23
8	a	0	1	11	12	23
9	a	0	1	11	12	23
10	b	0	1	11	12	23
11	b	0	1	11	12	23
12	a	10	11	23	24	47
13	a	10	11	23	24	47
14	a	10	11	23	24	47
15	a	10	11	23	24	47
16	a	10	11	23	24	47
17	a	10	11	23	24	47
18	a	10	11	23	24	47
19	a	10	11	23	24	47
20	a	10	11	23	24	47
21	a	10	11	23	24	47
22	b	10	11	23	24	47
23	b	10	11	23	24	47
24	a	22	23	34	35	69
25	a	22	23	34	35	69
26	a	22	23	34	35	69
27	a	22	23	34	35	69
28	a	22	23	34	35	69
29	a	22	23	34	35	69
30	a	22	23	34	35	69
31	a	22	23	34	35	69
32	a	22	23	34	35	69
33	a	22	23	34	35	69
34	b	22	23	34	35	69
35	b	22	23	34	35	69
36	a	33	34	45	46	91
37	a	33	34	45	46	91
38	a	33	34	45	46	91
39	a	33	34	45	46	91
40	a	33	34	45	46	91
41	a	33	34	45	46	91
42	a	33	34	45	46	91
43	a	33	34	45	46	91
44	a	33	34	45	46	91
45	a	33	34	45	46	91
46	b	33	34	45	46	91
47	b	33	34	45	46	91
48	a	44	45	56	57	113
49	a	44	45	56	57	113
50	a	44	45	56	57	113
51	a	44	45	56	57	113
52	a	44	45	56	57	113
53	a	44	45	56	57	113
54	a	44	45	56	57	113
55	a	44	45	56	57	113
56	a	44	45	56	57	113
57	a	44	45	56	57	113
58	b	44	45	56	57	113
59	b	44	45	56	57	113
60	a	55	56	67	68	135
61	a	55	56	67	68	135
62	a	55	56	67	68	135
63	a	55	56	67	68	135
64	a	55	56	67	68	135
65	a	55	56	67	68	135
66	a	55	56	67	68	135
67	a	55	56	67	68	135
68	a	55	56	67	68	135
69	a	55	56	67	68	135
70	b	55	56	67	68	135
71	b	55	56	67	68	135
72	a	66	67	78	79	157
73	a	66	67	78	79	157
74	a	66	67	78	79	157
75	a	66	67	78	79	157
76	a	66	67	78	79	157
77	a	66	67	78	79	157
78	a	66	67	78	79	157
79	a	66	67	78	79	157
80	a	66	67	78	79	157
81	a	66	67	78	79	157
82	b	66	67	78	79	157
83	b	66	67	78	79	157
84	a	77	78	89	90	179
85	a	77	78	89	90	179
86	a	77	78	89	90	179
87	a	77	78	89	90	179
88	a	77	78	89	90	179
89	a	77	78	89	90	179
90	a	77	78	89	90	179
91	a	77	78	89	90	179
92	a	77	78	89	90	179
93	a	77	78	89	90	179
94	b	77	78	89	90	179
95	b	77	78	89	90	179
96	a	88	89	100	101	201
97	a	88	89	100	101	201
98	a	88	89	100	101	201
99	a	88	89	100	101	201
100	a	88	89	100	101	201
101	a	88	89	100	101	201
102	a	88	89	100	101	201
103	a	88	89	100	101	201
104	a	88	89	100	101	201
105	a	88	89	100	101	201
106	b	99	100	111	112	223
107	b	99	100	111	112	223
108	a	99	100	111	112	223
109	a	99	100	111	112	223
110	a	99	100	111	112	223
111	a	99	100	111	112	223
112	a	99	100	111	112	223
113	a	99	100	111	112	223
114	a	99	100	111	112	223
115	a	99	100	111	112	223
116	a	99	100	111	112	223
117	a	99	100	111	112	223
118	b	99	100	111	112	223
119	b	99	100	111	112	223
120	a	110	111	122	123	245
121	a	110	111	122	123	245
122	a	110	111	122	123	245
123	a	110	111	122	123	245
124	a	110	111	122	123	245
125	a	110	111	122	123	245
126	a	110	111	122	123	245
127	a	110	111	122	123	245
128	a	110	111	122	123	245
129	a	110	111	122	123	245
130	b	110	111	122	123	245
131	b	110	111	122	123	245
132	a	121	122	133	134	267
133	a	121	122	133	134	267
134	a	121	122	133	134	267
135	a	121	122	133	134	267
136	a	121	122	133	134	267
137	a	121	122	133	134	267
138	a	121	122	133	134	267
139	a	121	122	133	134	267
140	a	121	122	133	134	267
